station_name,covered_by
2nd St at Folsom St,Father Alfred E Boeddeker Park
2nd St at Folsom St,10th Ave at Irving St
2nd St at Folsom St,Carl St at Cole St
2nd St at Folsom St,7th Ave at Cabrillo St
2nd St at Folsom St,The Embarcadero at Steuart St
2nd St at Folsom St,The Embarcadero at Vallejo St
2nd St at Folsom St,Pier 1/2 at The Embarcadero
2nd St at Folsom St,Cruise Terminal at Pier 27
2nd St at Folsom St,Commercial St at Montgomery St
2nd St at Folsom St,17th St at Dolores St
2nd St at Folsom St,Carroll Ave at 3rd St
2nd St at Folsom St,McKinnon Ave at 3rd St
2nd St at Folsom St,Spruce St at California St
2nd St at Folsom St,Delano Ave at Oneida Ave
2nd St at Folsom St,7th Ave at Clement St
2nd St at Folsom St,Mission Bay Kids Park
2nd St at Folsom St,Grove St at Gough St
2nd St at Folsom St,Market St at Steuart St
2nd St at Folsom St,O'Farrell St at Divisadero St
2nd St at Folsom St,Scott St at Golden Gate Ave
2nd St at Folsom St,Webster St at O'Farrell St
2nd St at Folsom St,Ellis St at Pierce St
2nd St at Folsom St,St. Joseph's Ave at Geary Blvd
2nd St at Folsom St,Judson Ave at Gennessee St
2nd St at Folsom St,Howard St at 8th St
2nd St at Folsom St,Folsom St at 9th St
2nd St at Folsom St,Howard St at 6th St
2nd St at Folsom St,Jackson Playground
2nd St at Folsom St,14th Ave at Geary Blvd
2nd St at Folsom St,Parker Ave at McAllister St
2nd St at Folsom St,McAllister St at Baker St
2nd St at Folsom St,O'Farrell St at Masonic Ave
2nd St at Folsom St,Union Square (Powell St at Post St)
2nd St at Folsom St,Irwin St at 8th St
2nd St at Folsom St,Hubbell St at 16th St
2nd St at Folsom St,Terry Francois Blvd at Mission Bay Blvd N
2nd St at Folsom St,7th St at King St
2nd St at Folsom St,Alameda St at Henry Adams St
2nd St at Folsom St,Potrero Ave at Mariposa St
2nd St at Folsom St,S Van Ness Ave at Market St
2nd St at Folsom St,11th St at Bryant St
2nd St at Folsom St,Folsom St at 13th St
2nd St at Folsom St,Division St at Potrero Ave
2nd St at Folsom St,15th St at Potrero Ave
2nd St at Folsom St,Jackson St at Polk St
2nd St at Folsom St,Bay St at Fillmore St
2nd St at Folsom St,Eucalyptus Dr at 20th Ave
2nd St at Folsom St,Myrtle St at Polk St
2nd St at Folsom St,Hyde St at Post St
2nd St at Folsom St,Post St at Baker St
2nd St at Folsom St,Funston Ave at Irving St
2nd St at Folsom St,7th Ave at Irving St
2nd St at Folsom St,7th Ave at Lawton St
2nd St at Folsom St,Church St at Duboce Ave
2nd St at Folsom St,Octavia Blvd at Page St
2nd St at Folsom St,Koshland Park
2nd St at Folsom St,Webster St at Grove St
2nd St at Folsom St,Laguna St at Hayes St
2nd St at Folsom St,Grove St at Divisadero
2nd St at Folsom St,Broderick St at Oak St
2nd St at Folsom St,Pierce St at Haight St
2nd St at Folsom St,Page St at Scott St
2nd St at Folsom St,Funston Ave at Clement St
2nd St at Folsom St,Funston Ave at Fulton St
2nd St at Folsom St,9th Ave at Geary Blvd
2nd St at Folsom St,Bryant St at 2nd St
2nd St at Folsom St,Sanchez St at 15th St
2nd St at Folsom St,Mission Dolores Park
2nd St at Folsom St,20th St at Dolores St
2nd St at Folsom St,Heron's Head Park
2nd St at Folsom St,Anza St at Collins St
2nd St at Folsom St,S Park St at 3rd St
2nd St at Folsom St,Powell St at Columbus Ave
2nd St at Folsom St,Raymond Kimbell Playground
2nd St at Folsom St,Golden Gate Ave at Franklin St
2nd St at Folsom St,8th St at Ringold St
2nd St at Folsom St,4th St at Harrison St
2nd St at Folsom St,Folsom St at 5th St
2nd St at Folsom St,8th St at Brannan St
2nd St at Folsom St,Esprit Park
2nd St at Folsom St,Mississippi St at 17th St
2nd St at Folsom St,23rd St at Tennessee St
2nd St at Folsom St,Grove St at Masonic Ave
2nd St at Folsom St,China Basin St at 3rd St
2nd St at Folsom St,Golden Gate Ave at Polk St
2nd St at Folsom St,San Francisco Public Library (Grove St at Hyde St)
2nd St at Folsom St,Post St at Divisadero St
2nd St at Folsom St,Post St at Webster St
2nd St at Folsom St,Fulton St at Laguna St
2nd St at Folsom St,Folsom St at 3rd St
2nd St at Folsom St,Clay St at Battery St
2nd St at Folsom St,Battery St at Filbert St
2nd St at Folsom St,Washington St at Kearny St
2nd St at Folsom St,22nd St Caltrain Station
2nd St at Folsom St,Townsend St at 5th St
2nd St at Folsom St,4th St at 16th St
2nd St at Folsom St,Cyril Magnin St at Ellis St
2nd St at Folsom St,Market St at Franklin St
2nd St at Folsom St,Salesforce Transit Center (Natoma St at 2nd St)
2nd St at Folsom St,Brannan St at Colin P Kelly Jr St
2nd St at Folsom St,Post St at Kearny St
2nd St at Folsom St,Davis St at Jackson St
2nd St at Folsom St,2nd St at Townsend St
2nd St at Folsom St,Tehama St at 1st St
2nd St at Folsom St,14th St at Mandela Pkwy
2nd St at Folsom St,Union St at 10th St
